#domain,port,ioc,ip
davidsal.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.117.10.184
davidsal.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.117.10.184
dcerma.cz,7000,Possible PiKVM Domain (Unverified),213.168.181.195
dcerma.cz,7001,Possible PiKVM Domain (Unverified),213.168.181.195
deadatdawn.crazedns.ru,8745,Possible GLKVM Domain (Unverified),194.28.29.99
debilausau.re,1200,Possible NanoKVM Domain (Unverified),90.109.191.130
dec1.synology.me,60443,Possible GLKVM Domain (Unverified),70.51.211.121
derp.taigelinganxian.asia,8443,Possible PiKVM Domain (Unverified),8.210.124.104
derp2.gjengedal.dev,43443,Possible NanoKVM Domain (Unverified),95.111.170.51
dev.cptarn.com,25000,Possible GLKVM Domain (Unverified),213.119.77.96
device-05a0108e-33c5-411e-bc4c-612968c81d00.remotewd.com,8443,Possible PiKVM Domain (Unverified),95.31.214.45
device-3234ddd7-5a1f-4de6-b73a-1da38ab9259d.remotewd.com,445,Possible GLKVM Domain (Unverified),162.191.89.154
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,443,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,8899,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-cbc118c4-ffdc-406b-8e9c-abd061e44822.remotewd.com,5280,Possible GLKVM Domain (Unverified),142.198.186.88
device-d9342516-e77d-4460-80da-45d6e4d107b4.remotewd.com,7443,Possible PiKVM Domain (Unverified),180.173.167.179
dfder.synology.me,50001,Possible NanoKVM Domain (Unverified),61.221.207.45
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
docs.sebastienpont.fr,8006,Possible PiKVM Domain (Unverified),92.167.89.247
door.sipeed.com,80,Possible NanoKVM Domain (Unverified),106.55.34.119
drivtek2024.direct.quickconnect.to,80,Possible NanoKVM Domain (Unverified),213.136.57.5
dwisidagama.direct.quickconnect.to,8888,Possible GLKVM Domain (Unverified),92.70.185.106
eademidkovk.direct.quickconnect.to,3380,Possible NanoKVM Domain (Unverified),95.154.109.69
eclext.asuscomm.com,5445,Possible PiKVM Domain (Unverified),120.245.61.69
edge.wlianhao.asia,9443,Possible PiKVM Domain (Unverified),64.90.3.189
emby.tenshigoan.ru,16533,Possible NanoKVM Domain (Unverified),95.161.90.242
emreyapici.direct.quickconnect.to,1313,Possible NanoKVM Domain (Unverified),37.130.64.72
erdmaennchen-luna.de,6868,Possible GLKVM Domain (Unverified),87.123.38.179
fb.anzerio.ddns.net,9999,Possible PiKVM Domain (Unverified),59.149.133.252
fdlab.pw,443,Possible GLKVM Domain (Unverified),76.133.139.205
files.isms.si,444,Possible TinyPilot KVM Domain (Unverified),93.103.128.78
firefin.loenberg.net,4443,Possible GLKVM Domain (Unverified),50.126.137.24
firewall.trinityturbine.com,62969,Possible PiKVM Domain (Unverified),50.205.90.234
fms.hrmim.cy,1443,Possible PiKVM Domain (Unverified),66.205.79.16
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
footletuce.com,42069,Possible PiKVM Domain (Unverified),70.83.11.30
fourplus.com.tr,8000,Possible NanoKVM Domain (Unverified),195.137.223.194
foxcall.com,10443,Possible GLKVM Domain (Unverified),136.62.104.87
foxcall.com,11443,Possible GLKVM Domain (Unverified),136.62.104.87
frankram.ddns.net,9443,Possible PiKVM Domain (Unverified),217.63.205.143
frigate.babyfavorite.pp.ua,33035,Possible NanoKVM Domain (Unverified),46.8.28.150
fs.winter.com.de,5830,Possible PiKVM Domain (Unverified),79.202.27.150
funkwhale.brnklmr.com,18443,Possible NanoKVM Domain (Unverified),77.37.180.210
furryham.cn,33333,Possible GLKVM Domain (Unverified),119.98.153.58
ganovquickservice.direct.quickconnect.to,59472,Possible NanoKVM Domain (Unverified),78.157.227.154
ganovquickservice.direct.quickconnect.to,59512,Possible NanoKVM Domain (Unverified),78.157.227.154
garqi.ovh,38451,Possible NanoKVM Domain (Unverified),82.67.95.15
