#domain,port,ioc
1.ooocyber.cfd,443,Possible ErrTraffic Domain (Unverified)
1.ooocyber.cfd,80,Possible ErrTraffic Domain (Unverified)
2.ooocyber.cfd,443,Possible ErrTraffic Domain (Unverified)
2.ooocyber.cfd,80,Possible ErrTraffic Domain (Unverified)
3.ooocyber.cfd,443,Possible ErrTraffic Domain (Unverified)
3.ooocyber.cfd,80,Possible ErrTraffic Domain (Unverified)
4.ooocyber.cfd,443,Possible ErrTraffic Domain (Unverified)
4.ooocyber.cfd,80,Possible ErrTraffic Domain (Unverified)
5.ooocyber.cfd,443,Possible ErrTraffic Domain (Unverified)
alafair.net,443,Possible CastleLoader Domain (Unverified)
alafair.net,80,Possible CastleLoader Domain (Unverified)
ass.ms,443,Possible ErrTraffic Domain (Unverified)
assetscout.airtory.com,443,Possible Pywssocks Domain (Unverified)
assetscout.airtory.com,80,Possible Pywssocks Domain (Unverified)
bethschwier.com,443,Possible CastleLoader Domain (Unverified)
bethschwier.com,80,Possible CastleLoader Domain (Unverified)
cdn-css-framework.cfd,443,Possible ErrTraffic Domain (Unverified)
cdn-css-framework.cfd,80,Possible ErrTraffic Domain (Unverified)
cdn-js-connection.cfd,443,Possible ErrTraffic Domain (Unverified)
cdn-js-connection.cfd,80,Possible ErrTraffic Domain (Unverified)
cdn-server-2.wesoc40288.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
cdn-server-2.wesoc40288.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
cdn1.cowivat156.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
cdn1.cowivat156.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
cpass.verf-secu4u.art,443,Possible ErrTraffic Domain (Unverified)
cpass.verf-secu4u.art,80,Possible ErrTraffic Domain (Unverified)
devopstechnologies.site,443,Possible SMOKEDHAM Domain (Unverified)
ec2-app.lewoha7320.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
ec2-app.lewoha7320.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
ec2-server.bayaj19162.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
ec2-server.bayaj19162.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
ec2-server.gegodec527.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
ec2-server.gegodec527.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
ec2-server.milago3967.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
ec2-server.milago3967.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
js-framework.cfd,443,Possible ErrTraffic Domain (Unverified)
js-framework.cfd,80,Possible ErrTraffic Domain (Unverified)
keystore-explorer.com,443,Possible SMOKEDHAM Domain (Unverified)
ladydosug.cfd,443,Possible ErrTraffic Domain (Unverified)
microsoftsupport.name,80,Possible Pywssocks Domain (Unverified)
sdn-cloudflare-js-botstrup.cfd,443,Possible ErrTraffic Domain (Unverified)
sdn-cloudflare-js.cfd,443,Possible ErrTraffic Domain (Unverified)
server-cd2.bipewi2747.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-cd2.bipewi2747.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.detocim498.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.detocim498.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.mevame4224.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.mevame4224.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.nefixeg373.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.nefixeg373.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.pixece7948.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.pixece7948.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.ravebo3233.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.ravebo3233.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.rojotoc516.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
