#domain,ioc,uri_path
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/push
klgbb.com,Possible Cobalt Strike C2 Domain,/d2clzbmsjml
lebondogicoin.com,Possible Cobalt Strike C2 Domain,/Dequeue/mqseries/D7W0GTJFY
lifebalancemissouri.com,Possible Cobalt Strike C2 Fronted Domain,/heatmaps/fleshlights/6407/2467/4437aa96434ade021bef08371cf2ea22
liolio.cn,Possible Cobalt Strike C2 Domain,/__utm.gif
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3
magnitogorsk.nl,Possible Cobalt Strike C2 Domain,/questions/32251816/c-sharp-directives-compilation-error
mcrkqm.cn,Possible Cobalt Strike C2 Fronted Domain,/vendorReact.dc6a29.chunk.js
microsoftsoftwave.com,Possible Cobalt Strike C2 Domain,/cx
n1.johnchen88.com,Possible Cobalt Strike C2 Domain,/push
networkhealth.azureedge.net,Possible Cobalt Strike C2 Domain,/git.asp
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/activity
ns.b1ing.com,Possible Cobalt Strike C2 Domain,/dot.gif
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain,/api-opt-2023-gfr/3
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
ns1.bewiser.at,Possible Cobalt Strike C2 Domain,/checkin
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/cm
ns1.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns1.norincogroup.site,Possible Cobalt Strike C2 Domain,/ga.js
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain,/updates.rss
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
ns1.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
ns2.623866.xyz,Possible Cobalt Strike C2 Domain,/visit.js
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/g.pixel
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
