#ip,port,ioc
1.13.175.24,8060,Possible Cobaltstrike C2 IP
1.13.247.208,80,Possible Cobaltstrike C2 IP
1.15.174.189,19999,Possible Cobaltstrike C2 IP
1.15.246.91,6767,Possible Cobaltstrike C2 IP
1.15.25.138,3443,Possible Cobaltstrike C2 IP
1.15.25.148,3443,Possible Cobaltstrike C2 IP
1.15.25.148,9080,Possible Cobaltstrike C2 IP
1.198.31.227,54002,Possible Cobaltstrike C2 IP
1.94.105.194,8081,Possible Cobaltstrike C2 IP
1.94.105.198,9443,Possible Cobaltstrike C2 IP
1.94.62.205,8089,Possible Cobaltstrike C2 IP
1.94.62.205,8090,Possible Cobaltstrike C2 IP
101.126.151.252,443,Possible Cobaltstrike C2 IP
101.132.131.225,11011,Possible Cobaltstrike C2 IP
101.132.173.62,443,Possible Cobaltstrike C2 IP
101.132.173.62,80,Possible Cobaltstrike C2 IP
101.132.173.62,8001,Possible Cobaltstrike C2 IP
101.132.71.240,1443,Possible Cobaltstrike C2 IP
101.133.148.66,18018,Possible Cobaltstrike C2 IP
101.200.193.211,8088,Possible Cobaltstrike C2 IP
101.200.86.176,2095,Possible Cobaltstrike C2 IP
101.200.86.176,8443,Possible Cobaltstrike C2 IP
101.201.75.136,80,Possible Cobaltstrike C2 IP
101.226.8.163,9231,Possible Cobaltstrike C2 IP
101.32.109.112,443,Possible Cobaltstrike C2 IP
101.34.205.214,20443,Possible Cobaltstrike C2 IP
101.34.66.77,443,Possible Cobaltstrike C2 IP
101.34.66.77,50001,Possible Cobaltstrike C2 IP
101.34.66.77,80,Possible Cobaltstrike C2 IP
101.34.66.77,8089,Possible Cobaltstrike C2 IP
101.35.109.246,443,Possible Cobaltstrike C2 IP
101.35.2.21,443,Possible Cobaltstrike C2 IP
101.35.223.90,443,Possible Cobaltstrike C2 IP
101.37.100.133,443,Possible Cobaltstrike C2 IP
101.42.51.184,80,Possible Cobaltstrike C2 IP
101.43.166.60,8888,Possible Cobaltstrike C2 IP
101.43.2.116,80,Possible Cobaltstrike C2 IP
101.43.91.156,18080,Possible Cobaltstrike C2 IP
101.66.162.82,443,Possible Cobaltstrike C2 IP
101.71.100.120,443,Possible Cobaltstrike C2 IP
101.71.100.184,443,Possible Cobaltstrike C2 IP
101.71.100.211,443,Possible Cobaltstrike C2 IP
101.71.100.220,443,Possible Cobaltstrike C2 IP
101.71.100.221,443,Possible Cobaltstrike C2 IP
101.71.100.27,443,Possible Cobaltstrike C2 IP
103.117.141.184,443,Possible Cobaltstrike C2 IP
103.12.148.33,443,Possible Cobaltstrike C2 IP
103.12.148.42,443,Possible Cobaltstrike C2 IP
103.125.248.109,2053,Possible Cobaltstrike C2 IP
103.125.248.109,443,Possible Cobaltstrike C2 IP
103.125.248.109,50469,Possible Cobaltstrike C2 IP
103.149.93.146,443,Possible Cobaltstrike C2 IP
103.155.92.204,8888,Possible Metasploit C2 IP
103.164.81.113,8443,Possible Cobaltstrike C2 IP
103.171.35.26,9443,Possible Cobaltstrike C2 IP
103.171.35.66,6443,Possible Cobaltstrike C2 IP
103.173.226.98,80,Possible Cobaltstrike C2 IP
103.19.190.184,7415,Possible Cobaltstrike C2 IP
103.19.190.184,7416,Possible Cobaltstrike C2 IP
103.236.77.35,4433,Possible Cobaltstrike C2 IP
103.242.12.203,8689,Possible Cobaltstrike C2 IP
103.41.7.130,4567,Possible Cobaltstrike C2 IP
103.41.7.149,4567,Possible Cobaltstrike C2 IP
103.41.7.154,4567,Possible Cobaltstrike C2 IP
103.44.88.227,4567,Possible Cobaltstrike C2 IP
103.44.88.230,4567,Possible Cobaltstrike C2 IP
103.44.88.237,4567,Possible Cobaltstrike C2 IP
103.44.88.240,4567,Possible Cobaltstrike C2 IP
103.44.88.243,4567,Possible Cobaltstrike C2 IP
103.44.88.250,4567,Possible Cobaltstrike C2 IP
103.49.92.35,8080,Possible Metasploit C2 IP
103.73.66.43,80,Possible Cobaltstrike C2 IP
103.74.194.97,443,Possible Cobaltstrike C2 IP
103.79.187.254,53,Possible Cobaltstrike C2 IP
103.85.226.78,8769,Possible Cobaltstrike C2 IP
103.97.179.158,8443,Possible Cobaltstrike C2 IP
104.160.9.139,443,Possible Metasploit C2 IP
104.21.84.149,2095,Possible Cobaltstrike C2 IP
106.12.111.209,4430,Possible Cobaltstrike C2 IP
106.13.137.229,7777,Possible Cobaltstrike C2 IP
106.13.211.192,43082,Possible Cobaltstrike C2 IP
106.13.29.104,80,Possible Cobaltstrike C2 IP
106.13.78.105,18444,Possible Cobaltstrike C2 IP
106.14.76.222,83,Possible Cobaltstrike C2 IP
106.14.76.222,8888,Possible Cobaltstrike C2 IP
106.38.201.207,8042,Possible Cobaltstrike C2 IP
106.52.136.106,443,Possible Cobaltstrike C2 IP
106.52.2.166,443,Possible Cobaltstrike C2 IP
106.52.207.50,443,Possible Cobaltstrike C2 IP
106.52.208.143,46000,Possible Cobaltstrike C2 IP
106.52.213.241,443,Possible Cobaltstrike C2 IP
106.52.24.141,30443,Possible Cobaltstrike C2 IP
106.52.44.215,443,Possible Cobaltstrike C2 IP
106.52.53.193,8888,Possible Cobaltstrike C2 IP
106.52.53.193,9999,Possible Cobaltstrike C2 IP
106.52.62.253,443,Possible Cobaltstrike C2 IP
106.53.107.131,443,Possible Cobaltstrike C2 IP
106.53.208.183,443,Possible Cobaltstrike C2 IP
106.54.239.134,80,Possible Cobaltstrike C2 IP
106.54.244.136,80,Possible Cobaltstrike C2 IP
106.54.61.188,443,Possible Cobaltstrike C2 IP
106.55.150.142,443,Possible Cobaltstrike C2 IP
106.55.60.141,80,Possible Cobaltstrike C2 IP
106.75.162.108,81,Possible Cobaltstrike C2 IP
106.75.215.96,8081,Possible Cobaltstrike C2 IP
106.75.224.31,8081,Possible Cobaltstrike C2 IP
106.75.224.31,8082,Possible Cobaltstrike C2 IP
107.148.35.2,8443,Possible Cobaltstrike C2 IP
107.148.50.75,80,Possible Cobaltstrike C2 IP
107.149.192.54,7443,Possible Cobaltstrike C2 IP
107.149.192.54,8080,Possible Cobaltstrike C2 IP
107.172.139.160,808,Possible Cobaltstrike C2 IP
107.173.171.200,443,Possible Cobaltstrike C2 IP
107.173.171.200,80,Possible Cobaltstrike C2 IP
107.173.180.173,2052,Possible Cobaltstrike C2 IP
107.173.180.173,2053,Possible Cobaltstrike C2 IP
107.173.71.25,80,Possible Cobaltstrike C2 IP
107.174.142.52,80,Possible Cobaltstrike C2 IP
107.174.144.204,8080,Possible Cobaltstrike C2 IP
107.174.147.15,53,Possible Cobaltstrike C2 IP
107.174.67.215,9312,Possible Cobaltstrike C2 IP
107.175.115.91,2053,Possible Cobaltstrike C2 IP
107.175.158.208,2053,Possible Cobaltstrike C2 IP
107.175.158.208,2082,Possible Cobaltstrike C2 IP
107.175.158.208,2086,Possible Cobaltstrike C2 IP
107.175.158.208,443,Possible Cobaltstrike C2 IP
107.175.158.208,80,Possible Cobaltstrike C2 IP
107.175.158.209,2086,Possible Cobaltstrike C2 IP
109.169.66.125,443,Possible Metasploit C2 IP
109.173.167.24,4444,Possible Metasploit C2 IP
109.173.233.76,4444,Possible Metasploit C2 IP
109.206.247.161,5001,Possible Cobaltstrike C2 IP
110.40.174.104,8080,Possible Cobaltstrike C2 IP
110.40.176.194,8099,Possible Cobaltstrike C2 IP
110.41.3.12,8088,Possible Cobaltstrike C2 IP
110.42.232.120,9191,Possible Cobaltstrike C2 IP
111.119.234.255,80,Possible Cobaltstrike C2 IP
111.124.203.18,443,Possible Cobaltstrike C2 IP
111.228.26.26,443,Possible Cobaltstrike C2 IP
111.228.3.39,4433,Possible Cobaltstrike C2 IP
111.228.35.33,7878,Possible Cobaltstrike C2 IP
111.228.40.85,8088,Possible Cobaltstrike C2 IP
111.228.55.96,443,Possible Cobaltstrike C2 IP
111.229.187.190,8444,Possible Cobaltstrike C2 IP
111.229.4.108,2096,Possible Cobaltstrike C2 IP
111.230.38.222,7777,Possible Cobaltstrike C2 IP
111.231.11.61,8080,Possible Cobaltstrike C2 IP
111.231.23.22,55321,Possible Cobaltstrike C2 IP
111.92.242.44,443,Possible Cobaltstrike C2 IP
111.92.243.97,443,Possible Cobaltstrike C2 IP
111.92.243.97,4443,Possible Cobaltstrike C2 IP
111.92.243.97,4545,Possible Cobaltstrike C2 IP
111.92.243.97,80,Possible Cobaltstrike C2 IP
112.124.24.132,443,Possible Cobaltstrike C2 IP
112.125.88.176,443,Possible Cobaltstrike C2 IP
112.125.88.176,5555,Possible Cobaltstrike C2 IP
112.125.88.176,6666,Possible Cobaltstrike C2 IP
112.125.88.176,80,Possible Cobaltstrike C2 IP
112.13.173.76,443,Possible Cobaltstrike C2 IP
113.250.188.15,8077,Possible Cobaltstrike C2 IP
