#domain,ioc
dsx8n92acsx7i.cloudfront.net,Possible Cobalt Strike C2 Domain
easyjlpt.com,Possible Cobalt Strike C2 Domain
evokvm.eu.org,Possible Cobalt Strike C2 Domain
felton-shop.com,Possible Cobalt Strike C2 Domain
feltonworkshop.com,Possible Cobalt Strike C2 Domain
file1.amelicen.com,Possible Cobalt Strike C2 Domain
file2.amelicen.com,Possible Cobalt Strike C2 Domain
file3.amelicen.com,Possible Cobalt Strike C2 Domain
fingerswinger.net,Possible Cobalt Strike C2 Domain
firebierd.store,Possible Cobalt Strike C2 Fronted Domain
firebird.store,Possible Cobalt Strike C2 Fronting Domain
fp8arcng0e505.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
frontendtest.nfcos.net.cn,Possible Cobalt Strike C2 Fronted Domain
fuck.looklook13.sbs,Possible Cobalt Strike C2 Domain
gf.com.cn,Possible Cobalt Strike C2 Fronting Domain
git.cysdetred-humanresources.com,Possible Cobalt Strike C2 Domain
git.cysdetred-services.com,Possible Cobalt Strike C2 Domain
google.route-api.com,Possible Cobalt Strike C2 Domain
harudake.com,Possible Cobalt Strike C2 Fronting Domain
helpdesk.technicalsecurityops.org,Possible Cobalt Strike C2 Domain
hh.ltsc.name,Possible Cobalt Strike C2 Domain
hub.t1brime-dev.ru,Possible Cobalt Strike C2 Domain
ikun.blacktelson.cloudns.ch,Possible Cobalt Strike C2 Domain
images.scbpointx.com,Possible Cobalt Strike C2 Domain
jhg.australiasoutheast.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
jpa1.zync.us.kg,Possible Cobalt Strike C2 Domain
js.sfqj321.buzz,Possible Cobalt Strike C2 Domain
liolio.cn,Possible Cobalt Strike C2 Domain
login.localtechplus.com,Possible Cobalt Strike C2 Domain
m.bestseller.com.cn,Possible Cobalt Strike C2 Fronted Domain
m.only.cn,Possible Cobalt Strike C2 Fronted Domain
manage.flash-oss.info,Possible Cobalt Strike C2 Domain
meizu.info,Possible Cobalt Strike C2 Domain
microsaft.club,Possible Cobalt Strike C2 Domain
ms.quens.top,Possible Cobalt Strike C2 Domain
msntp.windowstimezone.com,Possible Cobalt Strike C2 Domain
n1.johnchen88.com,Possible Cobalt Strike C2 Domain
naisifeideke.top,Possible Cobalt Strike C2 Domain
nas.miuiwang.cn,Possible Cobalt Strike C2 Domain
neti.openioc.us,Possible Cobalt Strike C2 Domain
nexus.repo.update.0o0.foo,Possible Cobalt Strike C2 Domain
ng.623866.xyz,Possible Cobalt Strike C2 Domain
nino.nakano.top,Possible Cobalt Strike C2 Domain
nns.micrsoft-update.com,Possible Cobalt Strike C2 Domain
ns.jumpservers.net,Possible Cobalt Strike C2 Domain
ns.micorsoft.co,Possible Cobalt Strike C2 Fronted Domain
ns.rightyellow.com,Possible Cobalt Strike C2 Domain
ns1.akawowfast.com,Possible Cobalt Strike C2 Domain
ns1.centos-yum.net,Possible Cobalt Strike C2 Fronted Domain
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns1.cioudfiear.com,Possible Cobalt Strike C2 Domain
ns1.cmbchina.top,Possible Cobalt Strike C2 Domain
ns1.connectivitytests.com,Possible Cobalt Strike C2 Domain
ns1.cotilah.com,Possible Cobalt Strike C2 Domain
ns1.crmloans.com,Possible Cobalt Strike C2 Domain
ns1.ddav.top,Possible Cobalt Strike C2 Domain
ns1.ddporn.top,Possible Cobalt Strike C2 Domain
ns1.depusec.com,Possible Cobalt Strike C2 Domain
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns1.dursomo.com,Possible Cobalt Strike C2 Domain
ns1.elouled.com,Possible Cobalt Strike C2 Domain
ns1.falsh.cc,Possible Cobalt Strike C2 Domain
ns1.glthub.icu,Possible Cobalt Strike C2 Domain
ns1.gonamph.com,Possible Cobalt Strike C2 Domain
ns1.hkappdev.com,Possible Cobalt Strike C2 Domain
ns1.hostwps.cn,Possible Cobalt Strike C2 Domain
ns1.ig-pay.com,Possible Cobalt Strike C2 Domain
ns1.jquery.cn.com,Possible Cobalt Strike C2 Domain
ns1.killgod.icu,Possible Cobalt Strike C2 Domain
ns1.kqilife.com,Possible Cobalt Strike C2 Domain
ns1.lumeala.com,Possible Cobalt Strike C2 Domain
ns1.nactrace.com,Possible Cobalt Strike C2 Domain
ns1.nonalom.com,Possible Cobalt Strike C2 Domain
ns1.piclaid.com,Possible Cobalt Strike C2 Domain
ns1.rightyellow.com,Possible Cobalt Strike C2 Domain
ns1.sangfor.sbs,Possible Cobalt Strike C2 Domain
ns1.sdkhsdfsdl54dsd.cfd,Possible Cobalt Strike C2 Domain
ns1.sentinelonebit.com,Possible Cobalt Strike C2 Domain
ns1.sex666vr.com,Possible Cobalt Strike C2 Domain
ns1.translategoos.com,Possible Cobalt Strike C2 Domain
ns1.vip8025.mom,Possible Cobalt Strike C2 Domain
ns1.wpk1.club,Possible Cobalt Strike C2 Domain
ns1.zonstcom.com,Possible Cobalt Strike C2 Domain
ns2.akawowfast.com,Possible Cobalt Strike C2 Domain
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns2.cmbchina.top,Possible Cobalt Strike C2 Domain
