#ip,port,ioc
101.43.59.200,6666,Possible Cobaltstrike C2 IP
101.43.64.81,44333,Possible Cobaltstrike C2 IP
101.43.85.101,4443,Possible Cobaltstrike C2 IP
101.43.99.236,61443,Possible Cobaltstrike C2 IP
101.91.125.228,443,Possible Cobaltstrike C2 IP
101.93.221.5,8443,Possible Cobaltstrike C2 IP
101.93.221.5,8880,Possible Cobaltstrike C2 IP
101.99.91.101,8383,Possible Metasploit C2 IP
102.220.23.93,443,Possible Cobaltstrike C2 IP
103.106.228.122,443,Possible Metasploit C2 IP
103.106.3.234,443,Possible Cobaltstrike C2 IP
103.117.120.68,13000,Possible Cobaltstrike C2 IP
103.127.125.157,9999,Possible Cobaltstrike C2 IP
103.131.189.5,8443,Possible Cobaltstrike C2 IP
103.136.150.182,443,Possible Cobaltstrike C2 IP
103.140.186.171,8080,Possible Cobaltstrike C2 IP
103.141.1.36,443,Possible Cobaltstrike C2 IP
103.142.102.171,443,Possible Cobaltstrike C2 IP
103.143.40.106,443,Possible Cobaltstrike C2 IP
103.143.81.165,443,Possible Cobaltstrike C2 IP
103.144.139.110,443,Possible Cobaltstrike C2 IP
103.145.107.203,8080,Possible Cobaltstrike C2 IP
103.146.179.79,443,Possible Cobaltstrike C2 IP
103.146.179.89,443,Possible Cobaltstrike C2 IP
103.159.64.205,8880,Possible Cobaltstrike C2 IP
103.159.64.206,8880,Possible Cobaltstrike C2 IP
103.19.190.184,4436,Possible Cobaltstrike C2 IP
103.192.178.251,443,Possible Cobaltstrike C2 IP
103.192.179.97,443,Possible Cobaltstrike C2 IP
103.194.107.116,2095,Possible Cobaltstrike C2 IP
103.194.107.116,443,Possible Cobaltstrike C2 IP
103.225.196.197,80,Possible Cobaltstrike C2 IP
103.229.124.241,443,Possible Cobaltstrike C2 IP
103.234.72.115,80,Possible Cobaltstrike C2 IP
103.234.72.127,8798,Possible Cobaltstrike C2 IP
103.234.72.159,443,Possible Cobaltstrike C2 IP
103.234.72.165,31211,Possible Cobaltstrike C2 IP
103.234.72.215,8443,Possible Cobaltstrike C2 IP
103.234.72.222,2095,Possible Cobaltstrike C2 IP
103.234.72.28,8443,Possible Cobaltstrike C2 IP
103.234.72.32,18443,Possible Cobaltstrike C2 IP
103.234.72.99,53,Possible Cobaltstrike C2 IP
103.234.72.99,8443,Possible Cobaltstrike C2 IP
103.24.179.18,7004,Possible Cobaltstrike C2 IP
103.242.12.203,8686,Possible Cobaltstrike C2 IP
103.243.25.70,6666,Possible Cobaltstrike C2 IP
103.244.89.133,8888,Possible Cobaltstrike C2 IP
103.30.40.70,443,Possible Cobaltstrike C2 IP
103.30.76.254,8080,Possible Metasploit C2 IP
103.30.76.254,8443,Possible Metasploit C2 IP
103.43.18.230,443,Possible Metasploit C2 IP
103.51.145.111,56641,Possible Cobaltstrike C2 IP
103.56.113.11,80,Possible Cobaltstrike C2 IP
103.56.113.11,8080,Possible Cobaltstrike C2 IP
103.68.251.170,80,Possible Cobaltstrike C2 IP
103.72.57.35,443,Possible Cobaltstrike C2 IP
103.72.57.35,80,Possible Cobaltstrike C2 IP
103.96.128.40,443,Possible Cobaltstrike C2 IP
103.96.128.40,80,Possible Cobaltstrike C2 IP
103.96.73.81,443,Possible Cobaltstrike C2 IP
103.96.73.81,80,Possible Cobaltstrike C2 IP
103.96.75.36,7777,Possible Cobaltstrike C2 IP
103.96.75.73,443,Possible Cobaltstrike C2 IP
103.99.133.77,443,Possible Cobaltstrike C2 IP
104.129.181.103,8089,Possible Cobaltstrike C2 IP
104.129.183.120,443,Possible Metasploit C2 IP
104.143.47.137,2087,Possible Cobaltstrike C2 IP
104.155.235.222,53,Possible Cobaltstrike C2 IP
104.156.238.213,443,Possible Cobaltstrike C2 IP
104.168.133.238,8080,Possible Cobaltstrike C2 IP
104.168.148.234,443,Possible Cobaltstrike C2 IP
104.168.148.234,80,Possible Cobaltstrike C2 IP
104.168.153.41,80,Possible Cobaltstrike C2 IP
104.168.45.25,80,Possible Cobaltstrike C2 IP
104.194.152.141,80,Possible Cobaltstrike C2 IP
104.200.67.121,53,Possible Cobaltstrike C2 IP
104.243.18.119,443,Possible Cobaltstrike C2 IP
104.248.170.245,4443,Possible Metasploit C2 IP
104.248.183.30,8080,Possible Metasploit C2 IP
104.248.57.215,443,Possible Cobaltstrike C2 IP
104.251.218.253,443,Possible Cobaltstrike C2 IP
104.251.236.38,443,Possible Cobaltstrike C2 IP
106.12.116.136,443,Possible Cobaltstrike C2 IP
106.14.104.191,9000,Possible Cobaltstrike C2 IP
106.14.126.40,80,Possible Cobaltstrike C2 IP
106.14.148.143,8080,Possible Cobaltstrike C2 IP
106.14.213.29,80,Possible Cobaltstrike C2 IP
106.14.69.133,8081,Possible Cobaltstrike C2 IP
106.14.69.133,8999,Possible Cobaltstrike C2 IP
106.15.184.255,50011,Possible Cobaltstrike C2 IP
106.15.184.255,50012,Possible Cobaltstrike C2 IP
106.15.184.255,80,Possible Cobaltstrike C2 IP
106.15.192.7,8080,Possible Metasploit C2 IP
106.15.224.147,36500,Possible Cobaltstrike C2 IP
106.15.224.147,36545,Possible Cobaltstrike C2 IP
106.15.3.99,80,Possible Cobaltstrike C2 IP
106.38.201.40,8443,Possible Cobaltstrike C2 IP
106.52.176.162,443,Possible Cobaltstrike C2 IP
106.52.181.33,80,Possible Cobaltstrike C2 IP
106.52.207.50,443,Possible Cobaltstrike C2 IP
106.52.241.158,8767,Possible Cobaltstrike C2 IP
106.52.37.207,2233,Possible Cobaltstrike C2 IP
106.53.16.31,443,Possible Cobaltstrike C2 IP
106.53.44.71,443,Possible Cobaltstrike C2 IP
106.53.97.219,8880,Possible Cobaltstrike C2 IP
106.54.199.174,80,Possible Cobaltstrike C2 IP
106.54.46.32,8001,Possible Cobaltstrike C2 IP
106.54.46.32,8002,Possible Cobaltstrike C2 IP
106.54.46.32,8003,Possible Cobaltstrike C2 IP
106.55.138.214,443,Possible Cobaltstrike C2 IP
106.55.229.190,443,Possible Cobaltstrike C2 IP
106.55.90.143,80,Possible Cobaltstrike C2 IP
106.75.247.91,443,Possible Cobaltstrike C2 IP
106.75.247.91,80,Possible Cobaltstrike C2 IP
106.75.61.100,6699,Possible Cobaltstrike C2 IP
106.75.62.120,8000,Possible Cobaltstrike C2 IP
106.75.62.120,8443,Possible Cobaltstrike C2 IP
106.75.76.252,443,Possible Cobaltstrike C2 IP
106.75.76.252,80,Possible Cobaltstrike C2 IP
107.148.1.68,443,Possible Cobaltstrike C2 IP
107.148.35.64,1443,Possible Metasploit C2 IP
107.149.220.104,80,Possible Cobaltstrike C2 IP
107.151.251.100,80,Possible Cobaltstrike C2 IP
107.172.139.160,808,Possible Cobaltstrike C2 IP
107.172.140.211,443,Possible Cobaltstrike C2 IP
107.172.140.211,80,Possible Cobaltstrike C2 IP
107.173.2.22,111,Possible Cobaltstrike C2 IP
107.173.2.22,222,Possible Cobaltstrike C2 IP
107.173.250.253,53,Possible Cobaltstrike C2 IP
107.173.57.205,8899,Possible Cobaltstrike C2 IP
107.174.115.223,2053,Possible Cobaltstrike C2 IP
107.174.147.15,53,Possible Cobaltstrike C2 IP
107.174.235.118,55513,Possible Cobaltstrike C2 IP
107.175.30.163,5678,Possible Cobaltstrike C2 IP
107.175.30.227,8888,Possible Cobaltstrike C2 IP
107.189.24.181,8088,Possible Cobaltstrike C2 IP
108.129.139.120,80,Possible Cobaltstrike C2 IP
108.186.93.132,443,Possible Cobaltstrike C2 IP
109.107.140.195,21755,Possible Cobaltstrike C2 IP
109.107.140.195,6443,Possible Cobaltstrike C2 IP
109.123.236.241,443,Possible Cobaltstrike C2 IP
109.123.236.241,80,Possible Cobaltstrike C2 IP
109.169.66.125,443,Possible Metasploit C2 IP
109.248.6.206,443,Possible Cobaltstrike C2 IP
110.40.138.5,4545,Possible Cobaltstrike C2 IP
110.40.141.38,80,Possible Cobaltstrike C2 IP
110.40.141.38,8081,Possible Cobaltstrike C2 IP
110.40.177.142,18443,Possible Cobaltstrike C2 IP
110.40.36.87,1234,Possible Cobaltstrike C2 IP
110.41.147.219,80,Possible Cobaltstrike C2 IP
110.41.164.39,81,Possible Cobaltstrike C2 IP
110.41.165.237,443,Possible Cobaltstrike C2 IP
110.41.178.223,443,Possible Cobaltstrike C2 IP
110.41.178.223,80,Possible Cobaltstrike C2 IP
110.41.185.80,443,Possible Cobaltstrike C2 IP
110.41.185.80,80,Possible Cobaltstrike C2 IP
110.41.2.207,18443,Possible Cobaltstrike C2 IP
