#ip,status,location
77.81.142.160,CyberGhost VPN IP,MX-3
84.252.92.130,CyberGhost VPN IP,MO-0
84.17.56.33,CyberGhost VPN IP,HK-0
84.17.56.160,CyberGhost VPN IP,HK-1
84.17.56.129,CyberGhost VPN IP,HK-2
84.17.39.161,CyberGhost VPN IP,SG-0
89.187.162.67,CyberGhost VPN IP,SG-1
146.70.59.3,CyberGhost VPN IP,PT-0
146.70.59.4,CyberGhost VPN IP,PT-1
45.154.153.2,CyberGhost VPN IP,BO-0
91.90.122.146,CyberGhost VPN IP,LI-0
91.90.122.130,CyberGhost VPN IP,LI-1
146.70.10.2,CyberGhost VPN IP,CR-0
146.70.10.40,CyberGhost VPN IP,CR-1
149.102.232.92,CyberGhost VPN IP,SK-0
149.102.232.65,CyberGhost VPN IP,SK-1
95.181.239.130,CyberGhost VPN IP,LK-0
98.159.40.1,CyberGhost VPN IP,LK-1
185.253.160.145,CyberGhost VPN IP,AM-0
185.253.160.130,CyberGhost VPN IP,AM-1
217.138.193.178,CyberGhost VPN IP,AE-0
156.146.55.158,CyberGhost VPN IP,BG-0
155.2.195.30,CyberGhost VPN IP,IE-0
149.34.243.65,CyberGhost VPN IP,IE-1
155.2.195.1,CyberGhost VPN IP,IE-2
149.34.242.223,CyberGhost VPN IP,IE-3
154.47.29.225,CyberGhost VPN IP,HR-0
154.47.29.193,CyberGhost VPN IP,HR-1
37.46.115.41,CyberGhost VPN IP,RS-0
45.132.194.51,CyberGhost VPN IP,BY-0
45.132.194.2,CyberGhost VPN IP,BY-1
45.132.194.14,CyberGhost VPN IP,BY-2
185.253.162.145,CyberGhost VPN IP,CY-0
185.253.162.130,CyberGhost VPN IP,CY-1
188.126.88.2,CyberGhost VPN IP,FI-0
188.126.89.98,CyberGhost VPN IP,FI-1
212.112.19.66,CyberGhost VPN IP,FI-2
173.244.58.1,CyberGhost VPN IP,MN-0
45.133.193.18,CyberGhost VPN IP,IS-0
45.133.193.2,CyberGhost VPN IP,IS-1
62.133.47.130,CyberGhost VPN IP,KZ-0
62.133.47.145,CyberGhost VPN IP,KZ-1
31.171.155.2,CyberGhost VPN IP,AL-0
31.171.152.98,CyberGhost VPN IP,AL-1
31.171.152.130,CyberGhost VPN IP,AL-2
173.239.247.2,CyberGhost VPN IP,VN-0
173.239.247.26,CyberGhost VPN IP,VN-1
91.90.124.130,CyberGhost VPN IP,IM-0
91.90.124.146,CyberGhost VPN IP,IM-1
212.112.19.2,CyberGhost VPN IP,SE-0
188.126.79.4,CyberGhost VPN IP,SE-1
46.246.3.141,CyberGhost VPN IP,SE-2
188.126.73.196,CyberGhost VPN IP,SE-3
95.181.236.130,CyberGhost VPN IP,GE-0
95.181.236.145,CyberGhost VPN IP,GE-1
98.159.36.2,CyberGhost VPN IP,BA-0
98.159.36.15,CyberGhost VPN IP,BA-1
91.90.126.130,CyberGhost VPN IP,PA-0
91.90.126.146,CyberGhost VPN IP,PA-1
84.239.42.129,CyberGhost VPN IP,UA-0
188.214.125.66,CyberGhost VPN IP,PH-0
188.214.125.34,CyberGhost VPN IP,PH-1
82.102.27.90,CyberGhost VPN IP,NO-0
185.253.97.242,CyberGhost VPN IP,NO-1
185.206.225.226,CyberGhost VPN IP,NO-2
91.90.120.2,CyberGhost VPN IP,GL-0
91.90.120.18,CyberGhost VPN IP,GL-1
103.108.174.129,CyberGhost VPN IP,IN-0
103.108.174.155,CyberGhost VPN IP,IN-1
95.181.237.130,CyberGhost VPN IP,VE-0
62.133.46.2,CyberGhost VPN IP,IR-0
62.133.46.17,CyberGhost VPN IP,IR-1
154.47.16.129,CyberGhost VPN IP,CO-0
154.47.16.220,CyberGhost VPN IP,CO-1
146.70.65.29,CyberGhost VPN IP,NG-0
146.70.65.2,CyberGhost VPN IP,NG-1
149.88.26.1,CyberGhost VPN IP,IL-0
149.88.26.51,CyberGhost VPN IP,IL-1
146.70.39.2,CyberGhost VPN IP,AR-0
146.70.39.130,CyberGhost VPN IP,AR-1
146.70.38.62,CyberGhost VPN IP,AR-2
95.181.235.130,CyberGhost VPN IP,SA-0
165.231.182.129,CyberGhost VPN IP,EE-0
165.231.182.142,CyberGhost VPN IP,EE-1
195.80.150.210,CyberGhost VPN IP,SI-0
188.214.122.34,CyberGhost VPN IP,EG-0
188.214.122.66,CyberGhost VPN IP,EG-1
173.244.32.2,CyberGhost VPN IP,DO-0
188.241.80.130,CyberGhost VPN IP,CN-0
173.239.205.2,CyberGhost VPN IP,GT-0
178.175.142.130,CyberGhost VPN IP,MD-0
178.175.130.242,CyberGhost VPN IP,MD-1
146.70.12.2,CyberGhost VPN IP,PK-0
185.189.114.114,CyberGhost VPN IP,HU-0
86.106.74.242,CyberGhost VPN IP,HU-1
45.134.212.193,CyberGhost VPN IP,PL-0
138.199.59.129,CyberGhost VPN IP,PL-1
138.199.59.154,CyberGhost VPN IP,PL-2
173.239.201.129,CyberGhost VPN IP,ID-0
45.154.155.2,CyberGhost VPN IP,PE-0
185.225.28.2,CyberGhost VPN IP,MK-0
173.239.201.1,CyberGhost VPN IP,TH-0
149.102.248.177,CyberGhost VPN IP,ZA-0
154.47.30.1,CyberGhost VPN IP,ZA-1
79.127.175.1,CyberGhost VPN IP,GR-0
79.127.175.60,CyberGhost VPN IP,GR-1
176.125.229.130,CyberGhost VPN IP,ME-0
194.32.122.16,CyberGhost VPN IP,LT-0
194.32.122.4,CyberGhost VPN IP,LT-1
64.64.98.2,CyberGhost VPN IP,LA-0
173.244.33.2,CyberGhost VPN IP,NP-0
